Timestamp,Ontario Demand,Zone Total
2024-01-01 00:00:00,14482,14694
2024-01-01 01:00:00,14180,14339
2024-01-01 02:00:00,13722,14052
2024-01-01 03:00:00,13637,13840
2024-01-01 04:00:00,13697,13825
2024-01-01 05:00:00,13787,13916
2024-01-01 06:00:00,14055,14241
2024-01-01 07:00:00,14481,14626
2024-01-01 08:00:00,14708,14762
2024-01-01 09:00:00,14890,15041
2024-01-01 10:00:00,15240,15374
2024-01-01 11:00:00,15564,15765
2024-01-01 12:00:00,15920,16050
2024-01-01 13:00:00,16072,16238
2024-01-01 14:00:00,16339,16406
2024-01-01 15:00:00,16538,16693
2024-01-01 16:00:00,17147,17346
2024-01-01 17:00:00,17805,18003
2024-01-01 18:00:00,17525,17687
2024-01-01 19:00:00,17261,17356
2024-01-01 20:00:00,16822,17010
2024-01-01 21:00:00,16303,16454
2024-01-01 22:00:00,15410,15633
2024-01-01 23:00:00,14694,14892
2024-01-02 00:00:00,14124,14344
2024-01-02 01:00:00,13796,14028
2024-01-02 02:00:00,13617,13807
2024-01-02 03:00:00,13500,13750
2024-01-02 04:00:00,13714,13941
2024-01-02 05:00:00,14196,14403
2024-01-02 06:00:00,15381,15433
2024-01-02 07:00:00,16411,16466
2024-01-02 08:00:00,16839,17151
2024-01-02 09:00:00,17215,17515
2024-01-02 10:00:00,17519,17785
2024-01-02 11:00:00,17606,17846
2024-01-02 12:00:00,17648,17812
2024-01-02 13:00:00,17644,17825
2024-01-02 14:00:00,17684,17850
2024-01-02 15:00:00,17964,18110
2024-01-02 16:00:00,18402,18546
2024-01-02 17:00:00,19035,19120
2024-01-02 18:00:00,18688,18746
2024-01-02 19:00:00,18384,18450
2024-01-02 20:00:00,18027,18135
2024-01-02 21:00:00,17361,17413
2024-01-02 22:00:00,16334,16434
2024-01-02 23:00:00,15456,15542
2024-01-03 00:00:00,14780,14878
2024-01-03 01:00:00,14444,14540
2024-01-03 02:00:00,14189,14249
2024-01-03 03:00:00,14184,14276
2024-01-03 04:00:00,14401,14448
2024-01-03 05:00:00,14909,14949
2024-01-03 06:00:00,15851,15845
2024-01-03 07:00:00,17068,17021
2024-01-03 08:00:00,17643,17706
2024-01-03 09:00:00,18022,18061
2024-01-03 10:00:00,18192,18271
2024-01-03 11:00:00,18354,18402
2024-01-03 12:00:00,18257,18358
2024-01-03 13:00:00,18207,18386
2024-01-03 14:00:00,18255,18406
2024-01-03 15:00:00,18476,18522
2024-01-03 16:00:00,18928,18906
2024-01-03 17:00:00,19452,19382
2024-01-03 18:00:00,19015,19027
2024-01-03 19:00:00,18843,18904
2024-01-03 20:00:00,18418,18543
2024-01-03 21:00:00,17725,17892
2024-01-03 22:00:00,16766,16902
2024-01-03 23:00:00,15698,15932
2024-01-04 00:00:00,14981,15352
2024-01-04 01:00:00,14838,14847
2024-01-04 02:00:00,14576,14699
2024-01-04 03:00:00,14579,14650
2024-01-04 04:00:00,14825,14851
2024-01-04 05:00:00,15275,15376
2024-01-04 06:00:00,16375,16415
2024-01-04 07:00:00,17597,17656
2024-01-04 08:00:00,18143,18256
2024-01-04 09:00:00,18286,18265
2024-01-04 10:00:00,18076,18110
2024-01-04 11:00:00,17753,17932
2024-01-04 12:00:00,17465,17778
2024-01-04 13:00:00,17312,17656
2024-01-04 14:00:00,17580,17929
2024-01-04 15:00:00,18241,18462
2024-01-04 16:00:00,19035,19369
2024-01-04 17:00:00,19981,20109
2024-01-04 18:00:00,19718,19860
2024-01-04 19:00:00,19498,19620
2024-01-04 20:00:00,19186,19346
2024-01-04 21:00:00,18603,18759
2024-01-04 22:00:00,17574,17830
2024-01-04 23:00:00,16736,16909
2024-01-05 00:00:00,16002,16249
2024-01-05 01:00:00,15638,15740
2024-01-05 02:00:00,15335,15488
2024-01-05 03:00:00,15223,15423
2024-01-05 04:00:00,15387,15556
2024-01-05 05:00:00,15768,15964
2024-01-05 06:00:00,16789,16856
2024-01-05 07:00:00,17717,17872
2024-01-05 08:00:00,18250,18501
2024-01-05 09:00:00,18473,18867
2024-01-05 10:00:00,18635,18999
2024-01-05 11:00:00,18775,19061
2024-01-05 12:00:00,18780,19048
2024-01-05 13:00:00,18830,19050
2024-01-05 14:00:00,18835,19034
2024-01-05 15:00:00,18847,18976
2024-01-05 16:00:00,19122,19237
2024-01-05 17:00:00,19536,19606
2024-01-05 18:00:00,19079,19180
2024-01-05 19:00:00,18802,18924
2024-01-05 20:00:00,18617,18644
2024-01-05 21:00:00,18012,18102
2024-01-05 22:00:00,17178,17161
2024-01-05 23:00:00,16220,16302
2024-01-06 00:00:00,15542,15660
2024-01-06 01:00:00,15073,15178
2024-01-06 02:00:00,14709,14830
2024-01-06 03:00:00,14625,14683
2024-01-06 04:00:00,14546,14783
2024-01-06 05:00:00,14898,14982
2024-01-06 06:00:00,15388,15409
2024-01-06 07:00:00,15970,16007
2024-01-06 08:00:00,16495,16601
2024-01-06 09:00:00,17058,17207
2024-01-06 10:00:00,17497,17707
2024-01-06 11:00:00,18055,18200
2024-01-06 12:00:00,18364,18267
2024-01-06 13:00:00,18031,18166
2024-01-06 14:00:00,17980,18103
2024-01-06 15:00:00,18121,18211
2024-01-06 16:00:00,18561,18720
2024-01-06 17:00:00,19074,19146
2024-01-06 18:00:00,18752,18913
2024-01-06 19:00:00,18547,18549
2024-01-06 20:00:00,18122,18232
2024-01-06 21:00:00,17701,17689
2024-01-06 22:00:00,16995,16951
2024-01-06 23:00:00,16190,16210
2024-01-07 00:00:00,15516,15644
2024-01-07 01:00:00,15098,15230
2024-01-07 02:00:00,14948,14977
2024-01-07 03:00:00,14862,14906
2024-01-07 04:00:00,14967,14935
2024-01-07 05:00:00,15118,15086
2024-01-07 06:00:00,15424,15502
2024-01-07 07:00:00,16013,16012
2024-01-07 08:00:00,16603,16540
2024-01-07 09:00:00,17152,17162
2024-01-07 10:00:00,17625,17637
2024-01-07 11:00:00,17921,17898
2024-01-07 12:00:00,18094,18097
2024-01-07 13:00:00,18021,17990
2024-01-07 14:00:00,17860,17909
2024-01-07 15:00:00,17942,18031
2024-01-07 16:00:00,18512,18655
2024-01-07 17:00:00,19192,19349
2024-01-07 18:00:00,18900,19056
2024-01-07 19:00:00,18454,18625
2024-01-07 20:00:00,18018,18141
2024-01-07 21:00:00,17312,17432
2024-01-07 22:00:00,16296,16448
2024-01-07 23:00:00,15521,15721
2024-01-08 00:00:00,15036,15082
2024-01-08 01:00:00,14460,14716
2024-01-08 02:00:00,14284,14517
2024-01-08 03:00:00,14257,14503
2024-01-08 04:00:00,14442,14689
2024-01-08 05:00:00,15113,15297
2024-01-08 06:00:00,16550,16587
2024-01-08 07:00:00,17970,17932
2024-01-08 08:00:00,18437,18427
2024-01-08 09:00:00,18577,18572
2024-01-08 10:00:00,18515,18537
2024-01-08 11:00:00,18450,18566
2024-01-08 12:00:00,18450,18562
2024-01-08 13:00:00,18499,18633
2024-01-08 14:00:00,18584,18659
2024-01-08 15:00:00,18701,18805
2024-01-08 16:00:00,19120,19249
2024-01-08 17:00:00,19665,19730
2024-01-08 18:00:00,19106,19325
2024-01-08 19:00:00,18775,19010
2024-01-08 20:00:00,18373,18569
2024-01-08 21:00:00,17369,17797
2024-01-08 22:00:00,16513,16696
2024-01-08 23:00:00,15340,15782
2024-01-09 00:00:00,14715,15086
2024-01-09 01:00:00,14208,14605
2024-01-09 02:00:00,14049,14339
2024-01-09 03:00:00,14051,14277
2024-01-09 04:00:00,14226,14463
2024-01-09 05:00:00,14849,15013
2024-01-09 06:00:00,16015,16221
2024-01-09 07:00:00,17510,17710
2024-01-09 08:00:00,18170,18249
2024-01-09 09:00:00,18258,18478
2024-01-09 10:00:00,18763,18763
2024-01-09 11:00:00,19315,19055
2024-01-09 12:00:00,19412,19089
2024-01-09 13:00:00,19517,19170
2024-01-09 14:00:00,19422,19066
2024-01-09 15:00:00,19131,19061
2024-01-09 16:00:00,19460,19364
2024-01-09 17:00:00,19996,19874
2024-01-09 18:00:00,19383,19381
2024-01-09 19:00:00,18966,19030
2024-01-09 20:00:00,18512,18529
2024-01-09 21:00:00,17668,17661
2024-01-09 22:00:00,16533,16600
2024-01-09 23:00:00,15447,15601
2024-01-10 00:00:00,14709,14879
2024-01-10 01:00:00,14208,14394
2024-01-10 02:00:00,13965,14150
2024-01-10 03:00:00,13892,14092
2024-01-10 04:00:00,14069,14247
2024-01-10 05:00:00,14599,14798
2024-01-10 06:00:00,15811,15967
2024-01-10 07:00:00,17254,17308
2024-01-10 08:00:00,17807,17735
2024-01-10 09:00:00,17763,17765
2024-01-10 10:00:00,17729,17849
2024-01-10 11:00:00,17967,17999
2024-01-10 12:00:00,17898,18009
2024-01-10 13:00:00,18096,18160
2024-01-10 14:00:00,18118,18226
2024-01-10 15:00:00,18233,18374
2024-01-10 16:00:00,18825,18944
2024-01-10 17:00:00,19538,19452
2024-01-10 18:00:00,19180,19137
2024-01-10 19:00:00,18887,18862
2024-01-10 20:00:00,18516,18524
2024-01-10 21:00:00,17972,17988
2024-01-10 22:00:00,16995,16962
2024-01-10 23:00:00,15934,15983
2024-01-11 00:00:00,15320,15278
2024-01-11 01:00:00,14905,14872
2024-01-11 02:00:00,14635,14657
2024-01-11 03:00:00,14641,14673
2024-01-11 04:00:00,14852,14906
2024-01-11 05:00:00,15404,15498
2024-01-11 06:00:00,16679,16745
2024-01-11 07:00:00,18278,18185
2024-01-11 08:00:00,18714,18662
2024-01-11 09:00:00,18822,18816
2024-01-11 10:00:00,18845,18861
2024-01-11 11:00:00,18948,18925
2024-01-11 12:00:00,18870,18779
2024-01-11 13:00:00,18532,18670
2024-01-11 14:00:00,18494,18647
2024-01-11 15:00:00,18567,18684
2024-01-11 16:00:00,18935,19121
2024-01-11 17:00:00,19547,19665
2024-01-11 18:00:00,19252,19369
2024-01-11 19:00:00,18983,19126
2024-01-11 20:00:00,18611,18811
2024-01-11 21:00:00,18005,18128
2024-01-11 22:00:00,16971,17154
2024-01-11 23:00:00,16166,16311
2024-01-12 00:00:00,15533,15686
2024-01-12 01:00:00,15144,15283
2024-01-12 02:00:00,14928,15071
2024-01-12 03:00:00,14916,15096
2024-01-12 04:00:00,15167,15254
2024-01-12 05:00:00,15545,15744
2024-01-12 06:00:00,16563,16914
2024-01-12 07:00:00,18045,18210
2024-01-12 08:00:00,18511,18693
2024-01-12 09:00:00,18262,18638
2024-01-12 10:00:00,18390,18608
2024-01-12 11:00:00,18516,18541
2024-01-12 12:00:00,18430,18389
2024-01-12 13:00:00,18345,18330
2024-01-12 14:00:00,18459,18473
2024-01-12 15:00:00,18552,18713
2024-01-12 16:00:00,19119,19139
2024-01-12 17:00:00,19530,19557
2024-01-12 18:00:00,19148,19249
2024-01-12 19:00:00,18953,19050
2024-01-12 20:00:00,18868,18721
2024-01-12 21:00:00,18203,18105
2024-01-12 22:00:00,16999,17012
2024-01-12 23:00:00,16003,16053
2024-01-13 00:00:00,15341,15282
2024-01-13 01:00:00,14726,14742
2024-01-13 02:00:00,14298,14393
2024-01-13 03:00:00,14311,14247
