,Date/Time (LST),Stn Press (kPa),Temp (°C),Rel Hum (%),Wind Spd (km/h),Bruce,Ontario Demand
0,2024-01-01 00:00,99.12,-3.6,81.0,9.0,106,14482
1,2024-01-01 01:00,99.11,-3.7,80.0,8.0,104,14180
2,2024-01-01 02:00,99.15,-3.8,76.0,11.0,105,13722
3,2024-01-01 03:00,99.2,-3.7,77.0,7.0,104,13637
4,2024-01-01 04:00,99.22,-3.7,78.0,8.0,106,13697
5,2024-01-01 05:00,99.24,-4.1,86.0,7.0,106,13787
6,2024-01-01 06:00,99.28,-4.4,86.0,8.0,109,14055
7,2024-01-01 07:00,99.35,-4.0,77.0,7.0,114,14481
8,2024-01-01 08:00,99.39,-4.1,76.0,9.0,117,14708
9,2024-01-01 09:00,99.45,-4.4,82.0,14.0,121,14890
10,2024-01-01 10:00,99.51,-4.8,87.0,12.0,122,15240
11,2024-01-01 11:00,99.54,-4.0,74.0,8.0,122,15564
12,2024-01-01 12:00,99.49,-2.8,64.0,8.0,120,15920
13,2024-01-01 13:00,99.45,-3.3,70.0,12.0,119,16072
14,2024-01-01 14:00,99.42,-3.2,76.0,11.0,119,16339
15,2024-01-01 15:00,99.44,-3.0,81.0,9.0,120,16538
16,2024-01-01 16:00,99.43,-2.4,81.0,7.0,119,17147
17,2024-01-01 17:00,99.44,-2.2,76.0,15.0,121,17805
18,2024-01-01 18:00,99.42,-1.8,76.0,13.0,119,17525
19,2024-01-01 19:00,99.43,-1.8,78.0,15.0,115,17261
20,2024-01-01 20:00,99.42,-2.3,80.0,18.0,111,16822
21,2024-01-01 21:00,99.4,-2.6,81.0,16.0,105,16303
22,2024-01-01 22:00,99.34,-2.2,82.0,18.0,104,15410
23,2024-01-01 23:00,99.3,-1.8,80.0,17.0,100,14694
24,2024-01-02 00:00,99.24,-1.3,80.0,18.0,95,14124
25,2024-01-02 01:00,99.18,-0.6,79.0,16.0,95,13796
26,2024-01-02 02:00,99.15,-0.3,77.0,18.0,92,13617
27,2024-01-02 03:00,99.15,-0.1,81.0,27.0,93,13500
28,2024-01-02 04:00,99.1,-0.2,78.0,26.0,91,13714
29,2024-01-02 05:00,99.07,-0.5,79.0,24.0,92,14196
30,2024-01-02 06:00,99.05,-0.6,79.0,28.0,95,15381
31,2024-01-02 07:00,99.03,-0.3,80.0,29.0,99,16411
32,2024-01-02 08:00,99.0,-0.2,80.0,26.0,101,16839
33,2024-01-02 09:00,98.97,0.1,78.0,21.0,100,17215
34,2024-01-02 10:00,98.92,0.4,78.0,32.0,100,17519
35,2024-01-02 11:00,98.89,0.7,77.0,32.0,92,17606
36,2024-01-02 12:00,98.82,0.8,77.0,34.0,97,17648
37,2024-01-02 13:00,98.73,0.8,78.0,35.0,99,17644
38,2024-01-02 14:00,98.67,0.8,77.0,28.0,99,17684
39,2024-01-02 15:00,98.69,0.8,79.0,28.0,100,17964
40,2024-01-02 16:00,98.67,0.9,80.0,26.0,104,18402
41,2024-01-02 17:00,98.66,1.1,80.0,28.0,107,19035
42,2024-01-02 18:00,98.67,1.2,80.0,26.0,104,18688
43,2024-01-02 19:00,98.65,1.5,81.0,21.0,101,18384
44,2024-01-02 20:00,98.64,1.8,81.0,24.0,100,18027
45,2024-01-02 21:00,98.63,1.9,83.0,22.0,99,17361
46,2024-01-02 22:00,98.59,1.4,93.0,20.0,96,16334
47,2024-01-02 23:00,98.61,0.9,99.0,12.0,94,15456
48,2024-01-03 00:00,98.61,1.0,98.0,9.0,98,14780
49,2024-01-03 01:00,98.59,1.2,93.0,12.0,97,14444
50,2024-01-03 02:00,98.61,1.3,91.0,11.0,100,14189
51,2024-01-03 03:00,98.62,1.1,92.0,8.0,102,14184
52,2024-01-03 04:00,98.62,1.4,91.0,9.0,105,14401
53,2024-01-03 05:00,98.6,1.2,91.0,7.0,106,14909
54,2024-01-03 06:00,98.61,1.2,91.0,8.0,108,15851
55,2024-01-03 07:00,98.61,1.4,89.0,10.0,107,17068
56,2024-01-03 08:00,98.61,0.9,94.0,7.0,114,17643
57,2024-01-03 09:00,98.6,1.4,87.0,10.0,112,18022
58,2024-01-03 10:00,98.6,1.8,85.0,14.0,111,18192
59,2024-01-03 11:00,98.58,1.7,84.0,12.0,111,18354
60,2024-01-03 12:00,98.5,1.7,84.0,10.0,111,18257
61,2024-01-03 13:00,98.44,1.9,83.0,14.0,111,18207
62,2024-01-03 14:00,98.42,1.5,90.0,16.0,111,18255
63,2024-01-03 15:00,98.41,1.3,92.0,13.0,112,18476
64,2024-01-03 16:00,98.4,1.7,83.0,13.0,114,18928
