,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Flag,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather,datetime
0,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 00:00,2024,1,1,00:00,,-5.1,,-9.4,,72.0,,0.0,,2.0,,11.0,,,,100.65,,,,-10.0,,,2024-01-01 00:00:00
1,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 01:00,2024,1,1,01:00,,-5.8,,-9.5,,76.0,,0.0,,1.0,,9.0,,,,100.68,,,,-10.0,,,2024-01-01 01:00:00
2,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 02:00,2024,1,1,02:00,,-6.7,,-9.1,,83.0,,0.0,,36.0,,9.0,,,,100.7,,,,-11.0,,,2024-01-01 02:00:00
3,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 03:00,2024,1,1,03:00,,-6.5,,-9.0,,82.0,,0.0,,36.0,,10.0,,,,100.73,,,,-11.0,,,2024-01-01 03:00:00
4,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 04:00,2024,1,1,04:00,,-7.3,,-9.3,,86.0,,0.0,,35.0,,11.0,,,,100.74,,,,-12.0,,,2024-01-01 04:00:00
5,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 05:00,2024,1,1,05:00,,-7.4,,-9.7,,84.0,,0.0,,1.0,,8.0,,,,100.75,,,,-11.0,,,2024-01-01 05:00:00
6,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 06:00,2024,1,1,06:00,,-7.7,,-9.7,,86.0,,0.0,,1.0,,10.0,,,,100.8,,,,-13.0,,,2024-01-01 06:00:00
7,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 07:00,2024,1,1,07:00,,-8.4,,-10.3,,86.0,,0.0,,1.0,,8.0,,,,100.86,,,,-13.0,,,2024-01-01 07:00:00
8,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 08:00,2024,1,1,08:00,,-9.0,,-10.5,,89.0,,0.0,,35.0,,10.0,,,,100.92,,,,-14.0,,,2024-01-01 08:00:00
9,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 09:00,2024,1,1,09:00,,-7.2,,-9.7,,82.0,,0.0,,35.0,,10.0,,,,100.97,,,,-12.0,,,2024-01-01 09:00:00
10,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 10:00,2024,1,1,10:00,,-5.5,,-10.0,,71.0,,0.0,,1.0,,15.0,,,,101.01,,,,-11.0,,,2024-01-01 10:00:00
11,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 11:00,2024,1,1,11:00,,-4.7,,-10.1,,65.0,,0.0,,36.0,,9.0,,,,101.01,,,,-9.0,,,2024-01-01 11:00:00
12,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 12:00,2024,1,1,12:00,,-3.9,,-10.1,,62.0,,0.0,,1.0,,9.0,,,,100.95,,,,-8.0,,,2024-01-01 12:00:00
13,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 13:00,2024,1,1,13:00,,-3.1,,-10.2,,58.0,,0.0,,28.0,,6.0,,,,100.89,,,,-6.0,,,2024-01-01 13:00:00
14,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 14:00,2024,1,1,14:00,,-2.7,,-9.9,,58.0,,0.0,,35.0,,7.0,,,,100.89,,,,-6.0,,,2024-01-01 14:00:00
15,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 15:00,2024,1,1,15:00,,-2.8,,-10.5,,55.0,,0.0,,34.0,,7.0,,,,100.89,,,,-6.0,,,2024-01-01 15:00:00
16,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 16:00,2024,1,1,16:00,,-2.4,,-10.1,,55.0,,0.0,,26.0,,6.0,,,,100.91,,,,-5.0,,,2024-01-01 16:00:00
17,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 17:00,2024,1,1,17:00,,-3.6,,-9.9,,62.0,,0.0,,28.0,,6.0,,,,100.93,,,,-6.0,,,2024-01-01 17:00:00
18,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 18:00,2024,1,1,18:00,,-3.8,,-9.2,,66.0,,0.0,,27.0,,12.0,,,,100.94,,,,-8.0,,,2024-01-01 18:00:00
19,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 19:00,2024,1,1,19:00,,-4.9,,-9.0,,73.0,,0.0,,29.0,,12.0,,,,101.0,,,,-10.0,,,2024-01-01 19:00:00
20,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 20:00,2024,1,1,20:00,,-5.5,,-9.1,,76.0,,0.0,,28.0,,11.0,,,,101.01,,,,-10.0,,,2024-01-01 20:00:00
21,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-01 21:00,2024,1,1,21:00,,-5.6,,-8.8,,78.0,,0.0,,28.0,,10.0,,,,100.98,,,,-10.0,,,2024-01-01 21:00:00
