,Date/Time (LST),Stn Press (kPa),Temp (°C),Rel Hum (%),Wind Spd (km/h),East,Ontario Demand
0,2024-01-01 00:00,100.65,-5.1,72.0,11.0,930,14482
1,2024-01-01 01:00,100.68,-5.8,76.0,9.0,899,14180
2,2024-01-01 02:00,100.7,-6.7,83.0,9.0,875,13722
3,2024-01-01 03:00,100.73,-6.5,82.0,10.0,867,13637
4,2024-01-01 04:00,100.74,-7.3,86.0,11.0,871,13697
5,2024-01-01 05:00,100.75,-7.4,84.0,8.0,907,13787
6,2024-01-01 06:00,100.8,-7.7,86.0,10.0,949,14055
7,2024-01-01 07:00,100.86,-8.4,86.0,8.0,976,14481
8,2024-01-01 08:00,100.92,-9.0,89.0,10.0,952,14708
9,2024-01-01 09:00,100.97,-7.2,82.0,10.0,827,14890
10,2024-01-01 10:00,101.01,-5.5,71.0,15.0,763,15240
11,2024-01-01 11:00,101.01,-4.7,65.0,9.0,791,15564
12,2024-01-01 12:00,100.95,-3.9,62.0,9.0,801,15920
13,2024-01-01 13:00,100.89,-3.1,58.0,6.0,808,16072
14,2024-01-01 14:00,100.89,-2.7,58.0,7.0,850,16339
15,2024-01-01 15:00,100.89,-2.8,55.0,7.0,968,16538
16,2024-01-01 16:00,100.91,-2.4,55.0,6.0,1147,17147
17,2024-01-01 17:00,100.93,-3.6,62.0,6.0,1224,17805
18,2024-01-01 18:00,100.94,-3.8,66.0,12.0,1188,17525
19,2024-01-01 19:00,101.0,-4.9,73.0,12.0,1146,17261
20,2024-01-01 20:00,101.01,-5.5,76.0,11.0,1103,16822
21,2024-01-01 21:00,100.98,-5.6,78.0,10.0,1022,16303
22,2024-01-01 22:00,100.95,-4.8,77.0,10.0,943,15410
23,2024-01-01 23:00,100.96,-3.5,76.0,11.0,891,14694
24,2024-01-02 00:00,100.91,-3.4,75.0,11.0,824,14124
25,2024-01-02 01:00,100.85,-2.3,74.0,18.0,821,13796
26,2024-01-02 02:00,100.8,-1.9,75.0,17.0,822,13617
27,2024-01-02 03:00,100.78,-1.4,77.0,22.0,806,13500
28,2024-01-02 04:00,100.75,-1.2,74.0,24.0,808,13714
29,2024-01-02 05:00,100.74,-1.7,74.0,22.0,854,14196
30,2024-01-02 06:00,100.74,-1.4,77.0,16.0,914,15381
31,2024-01-02 07:00,100.75,-1.7,77.0,14.0,986,16411
32,2024-01-02 08:00,100.73,-1.8,78.0,13.0,1034,16839
33,2024-01-02 09:00,100.72,-1.4,78.0,15.0,1037,17215
34,2024-01-02 10:00,100.7,-1.0,77.0,16.0,1008,17519
35,2024-01-02 11:00,100.64,-0.4,78.0,18.0,976,17606
36,2024-01-02 12:00,100.54,0.2,78.0,19.0,940,17648
37,2024-01-02 13:00,100.44,0.6,77.0,33.0,921,17644
38,2024-01-02 14:00,100.39,0.8,76.0,26.0,931,17684
39,2024-01-02 15:00,100.38,0.8,76.0,25.0,1018,17964
40,2024-01-02 16:00,100.35,1.3,76.0,29.0,1105,18402
41,2024-01-02 17:00,100.39,1.1,76.0,16.0,1165,19035
42,2024-01-02 18:00,100.34,1.3,78.0,18.0,1138,18688
43,2024-01-02 19:00,100.34,1.5,78.0,17.0,1106,18384
44,2024-01-02 20:00,100.36,1.4,75.0,19.0,1088,18027
45,2024-01-02 21:00,100.36,1.0,71.0,18.0,1029,17361
46,2024-01-02 22:00,100.37,0.8,71.0,16.0,939,16334
47,2024-01-02 23:00,100.38,0.6,71.0,14.0,867,15456
48,2024-01-03 00:00,100.33,1.1,71.0,20.0,833,14780
49,2024-01-03 01:00,100.3,1.3,74.0,22.0,817,14444
