,Date/Time (LST),Stn Press (kPa),Temp (°C),Rel Hum (%),Wind Spd (km/h),Essa,Ontario Demand
0,2024-01-01 00:00,98.21,-3.0,91.0,7.0,1006,14482
1,2024-01-01 01:00,98.23,-3.4,85.0,13.0,970,14180
2,2024-01-01 02:00,98.25,-4.0,84.0,11.0,938,13722
3,2024-01-01 03:00,98.3,-4.4,81.0,10.0,923,13637
4,2024-01-01 04:00,98.31,-4.6,82.0,9.0,921,13697
5,2024-01-01 05:00,98.34,-5.0,84.0,11.0,934,13787
6,2024-01-01 06:00,98.4,-5.3,89.0,10.0,960,14055
7,2024-01-01 07:00,98.46,-5.5,91.0,9.0,998,14481
8,2024-01-01 08:00,98.49,-5.6,91.0,8.0,1034,14708
9,2024-01-01 09:00,98.55,-5.3,90.0,3.0,1083,14890
10,2024-01-01 10:00,98.6,-4.8,88.0,0.0,1129,15240
11,2024-01-01 11:00,98.62,-4.3,86.0,5.0,1165,15564
12,2024-01-01 12:00,98.59,-3.8,79.0,8.0,1183,15920
13,2024-01-01 13:00,98.52,-3.6,78.0,10.0,1183,16072
14,2024-01-01 14:00,98.51,-3.0,78.0,14.0,1181,16339
15,2024-01-01 15:00,98.53,-3.1,81.0,20.0,1200,16538
16,2024-01-01 16:00,98.56,-3.1,77.0,16.0,1274,17147
17,2024-01-01 17:00,98.59,-3.5,84.0,14.0,1358,17805
18,2024-01-01 18:00,98.58,-3.6,86.0,10.0,1328,17525
19,2024-01-01 19:00,98.57,-3.5,82.0,8.0,1287,17261
20,2024-01-01 20:00,98.56,-3.5,83.0,11.0,1237,16822
21,2024-01-01 21:00,98.52,-3.1,85.0,8.0,1168,16303
22,2024-01-01 22:00,98.5,-2.8,84.0,10.0,1084,15410
23,2024-01-01 23:00,98.5,-2.4,83.0,13.0,1001,14694
24,2024-01-02 00:00,98.48,-3.0,82.0,17.0,954,14124
25,2024-01-02 01:00,98.41,-3.0,83.0,7.0,917,13796
26,2024-01-02 02:00,98.42,-2.8,84.0,9.0,893,13617
27,2024-01-02 03:00,98.42,-2.6,82.0,11.0,887,13500
28,2024-01-02 04:00,98.37,-2.7,81.0,10.0,891,13714
29,2024-01-02 05:00,98.33,-2.6,81.0,10.0,925,14196
30,2024-01-02 06:00,98.32,-2.4,81.0,10.0,1005,15381
31,2024-01-02 07:00,98.32,-2.3,81.0,9.0,1103,16411
32,2024-01-02 08:00,98.29,-2.2,81.0,9.0,1153,16839
33,2024-01-02 09:00,98.26,-1.8,81.0,7.0,1166,17215
34,2024-01-02 10:00,98.24,-1.5,78.0,13.0,1162,17519
35,2024-01-02 11:00,98.19,-0.7,76.0,11.0,1142,17606
36,2024-01-02 12:00,98.1,0.5,73.0,9.0,1118,17648
37,2024-01-02 13:00,98.0,1.5,73.0,16.0,1123,17644
38,2024-01-02 14:00,97.95,1.5,73.0,13.0,1142,17684
39,2024-01-02 15:00,97.94,1.2,75.0,12.0,1179,17964
40,2024-01-02 16:00,97.92,1.0,75.0,12.0,1259,18402
41,2024-01-02 17:00,97.93,0.6,75.0,13.0,1350,19035
42,2024-01-02 18:00,97.95,0.5,77.0,11.0,1326,18688
43,2024-01-02 19:00,97.93,0.4,79.0,10.0,1290,18384
44,2024-01-02 20:00,97.91,0.5,80.0,7.0,1248,18027
45,2024-01-02 21:00,97.88,0.6,80.0,8.0,1177,17361
46,2024-01-02 22:00,97.86,0.7,82.0,6.0,1092,16334
47,2024-01-02 23:00,97.85,0.4,88.0,9.0,1009,15456
48,2024-01-03 00:00,97.82,0.1,94.0,9.0,950,14780
49,2024-01-03 01:00,97.8,0.3,90.0,9.0,915,14444
50,2024-01-03 02:00,97.81,0.3,91.0,8.0,890,14189
51,2024-01-03 03:00,97.85,0.1,94.0,9.0,881,14184
52,2024-01-03 04:00,97.83,0.2,95.0,9.0,894,14401
53,2024-01-03 05:00,97.82,0.3,96.0,9.0,931,14909
54,2024-01-03 06:00,97.83,0.3,96.0,9.0,1009,15851
55,2024-01-03 07:00,97.84,0.2,96.0,7.0,1098,17068
56,2024-01-03 08:00,97.86,0.2,95.0,8.0,1152,17643
57,2024-01-03 09:00,97.84,0.5,95.0,7.0,1176,18022
58,2024-01-03 10:00,97.86,0.7,94.0,7.0,1193,18192
59,2024-01-03 11:00,97.84,1.0,92.0,7.0,1198,18354
60,2024-01-03 12:00,97.76,1.0,94.0,10.0,1196,18257
61,2024-01-03 13:00,97.69,0.9,96.0,9.0,1193,18207
62,2024-01-03 14:00,97.66,1.4,91.0,10.0,1190,18255
63,2024-01-03 15:00,97.66,1.3,91.0,6.0,1204,18476
64,2024-01-03 16:00,97.64,1.1,85.0,8.0,1266,18928
65,2024-01-03 17:00,97.64,0.7,84.0,9.0,1355,19452
66,2024-01-03 18:00,97.7,0.7,86.0,8.0,1341,19015
67,2024-01-03 19:00,97.72,0.4,90.0,9.0,1319,18843
68,2024-01-03 20:00,97.73,0.2,93.0,8.0,1303,18418
69,2024-01-03 21:00,97.72,-0.2,97.0,8.0,1230,17725
70,2024-01-03 22:00,97.72,-0.8,96.0,8.0,1138,16766
71,2024-01-03 23:00,97.72,-0.8,96.0,9.0,1054,15698
72,2024-01-04 00:00,97.76,-0.5,96.0,10.0,999,14981
73,2024-01-04 01:00,97.86,-3.2,87.0,26.0,965,14838
74,2024-01-04 02:00,97.98,-4.9,86.0,24.0,955,14576
75,2024-01-04 03:00,98.14,-6.1,82.0,24.0,964,14579
76,2024-01-04 04:00,98.21,-6.4,88.0,16.0,991,14825
77,2024-01-04 05:00,98.27,-7.3,84.0,18.0,1039,15275
78,2024-01-04 06:00,98.41,-8.8,85.0,16.0,1135,16375
79,2024-01-04 07:00,98.55,-10.8,81.0,22.0,1240,17597
80,2024-01-04 08:00,98.63,-11.8,83.0,19.0,1294,18143
81,2024-01-04 09:00,98.73,-11.5,85.0,6.0,1291,18286
82,2024-01-04 10:00,98.77,-10.2,80.0,11.0,1255,18076
83,2024-01-04 11:00,98.84,-9.7,74.0,11.0,1202,17753
84,2024-01-04 12:00,98.84,-8.3,76.0,16.0,1162,17465
85,2024-01-04 13:00,98.82,-8.0,72.0,15.0,1159,17312
86,2024-01-04 14:00,98.85,-7.8,77.0,16.0,1196,17580
87,2024-01-04 15:00,98.86,-7.3,76.0,17.0,1281,18241
88,2024-01-04 16:00,98.88,-6.7,80.0,9.0,1385,19035
89,2024-01-04 17:00,98.92,-6.9,83.0,10.0,1495,19981
90,2024-01-04 18:00,98.93,-7.0,86.0,4.0,1484,19718
91,2024-01-04 19:00,98.92,-7.0,87.0,0.0,1455,19498
92,2024-01-04 20:00,98.92,-6.6,84.0,3.0,1414,19186
93,2024-01-04 21:00,98.9,-6.2,83.0,6.0,1347,18603
94,2024-01-04 22:00,98.87,-6.6,86.0,5.0,1255,17574
95,2024-01-04 23:00,98.84,-6.0,89.0,6.0,1160,16736
96,2024-01-05 00:00,98.79,-5.4,85.0,7.0,1110,16002
97,2024-01-05 01:00,98.75,-4.7,82.0,8.0,1070,15638
98,2024-01-05 02:00,98.71,-4.2,82.0,11.0,1039,15335
99,2024-01-05 03:00,98.7,-3.7,81.0,12.0,1020,15223
100,2024-01-05 04:00,98.68,-3.3,78.0,16.0,1025,15387
101,2024-01-05 05:00,98.7,-3.1,76.0,15.0,1061,15768
102,2024-01-05 06:00,98.72,-3.2,77.0,10.0,1132,16789
103,2024-01-05 07:00,98.75,-2.9,74.0,17.0,1217,17717
104,2024-01-05 08:00,98.77,-3.1,75.0,12.0,1260,18250
105,2024-01-05 09:00,98.77,-2.8,74.0,13.0,1276,18473
106,2024-01-05 10:00,98.79,-2.8,76.0,13.0,1296,18635
107,2024-01-05 11:00,98.78,-2.9,73.0,19.0,1298,18775
108,2024-01-05 12:00,98.67,-2.5,74.0,12.0,1292,18780
109,2024-01-05 13:00,98.6,-2.1,73.0,17.0,1281,18830
110,2024-01-05 14:00,98.52,-1.6,73.0,13.0,1268,18835
111,2024-01-05 15:00,98.48,-1.3,73.0,13.0,1273,18847
112,2024-01-05 16:00,98.46,-1.0,73.0,11.0,1327,19122
113,2024-01-05 17:00,98.5,-1.0,74.0,10.0,1389,19536
114,2024-01-05 18:00,98.54,-1.0,74.0,9.0,1363,19079
115,2024-01-05 19:00,98.61,-1.1,76.0,12.0,1331,18802
116,2024-01-05 20:00,98.64,-1.5,79.0,11.0,1293,18617
117,2024-01-05 21:00,98.5,-1.7,81.0,4.0,1231,18012
118,2024-01-05 22:00,98.5,-1.8,82.0,5.0,1149,17178
119,2024-01-05 23:00,98.53,-1.8,83.0,4.0,1068,16220
120,2024-01-06 00:00,98.47,-2.2,86.0,4.0,1001,15542
121,2024-01-06 01:00,98.41,-2.2,87.0,0.0,949,15073
122,2024-01-06 02:00,98.46,-2.2,88.0,6.0,922,14709
123,2024-01-06 03:00,98.46,-2.0,83.0,12.0,913,14625
124,2024-01-06 04:00,98.48,-2.2,89.0,9.0,922,14546
125,2024-01-06 05:00,98.42,-2.2,90.0,0.0,938,14898
126,2024-01-06 06:00,98.39,-2.1,90.0,3.0,979,15388
127,2024-01-06 07:00,98.33,-1.6,85.0,9.0,1042,15970
128,2024-01-06 08:00,98.23,-1.5,84.0,14.0,1099,16495
129,2024-01-06 09:00,98.21,-1.7,86.0,19.0,1163,17058
130,2024-01-06 10:00,98.18,-2.0,85.0,20.0,1218,17497
131,2024-01-06 11:00,98.01,-2.2,85.0,25.0,1249,18055
132,2024-01-06 12:00,97.9,-2.5,85.0,24.0,1262,18364
133,2024-01-06 13:00,97.81,-2.7,84.0,23.0,1257,18031
134,2024-01-06 14:00,97.71,-3.4,87.0,23.0,1250,17980
135,2024-01-06 15:00,97.61,-4.2,89.0,25.0,1260,18121
136,2024-01-06 16:00,97.58,-4.4,89.0,23.0,1329,18561
137,2024-01-06 17:00,97.56,-4.4,88.0,24.0,1404,19074
138,2024-01-06 18:00,97.59,-4.5,86.0,22.0,1384,18752
139,2024-01-06 19:00,97.5,-4.6,85.0,21.0,1323,18547
140,2024-01-06 20:00,97.44,-5.1,89.0,19.0,1280,18122
141,2024-01-06 21:00,97.35,-5.3,86.0,22.0,1225,17701
142,2024-01-06 22:00,97.28,-5.4,88.0,19.0,1156,16995
143,2024-01-06 23:00,97.3,-5.5,86.0,20.0,1088,16190
144,2024-01-07 00:00,97.24,-5.8,88.0,15.0,1040,15516
145,2024-01-07 01:00,97.21,-6.2,89.0,15.0,1003,15098
146,2024-01-07 02:00,97.19,-6.2,89.0,14.0,980,14948
147,2024-01-07 03:00,97.19,-6.4,88.0,13.0,977,14862
148,2024-01-07 04:00,97.17,-6.5,88.0,9.0,979,14967
149,2024-01-07 05:00,97.12,-6.8,88.0,8.0,981,15118
150,2024-01-07 06:00,97.13,-7.0,88.0,9.0,1016,15424
151,2024-01-07 07:00,97.18,-7.0,87.0,6.0,1068,16013
152,2024-01-07 08:00,97.21,-7.0,86.0,8.0,1130,16603
153,2024-01-07 09:00,97.25,-6.8,86.0,7.0,1182,17152
154,2024-01-07 10:00,97.25,-6.3,82.0,4.0,1211,17625
155,2024-01-07 11:00,97.25,-5.0,78.0,0.0,1230,17921
