,Date/Time (LST),Stn Press (kPa),Temp (°C),Rel Hum (%),Wind Spd (km/h),Niagara,Ontario Demand
0,2024-01-01 00:00,,,,,454,14482
1,2024-01-01 01:00,,,,,447,14180
2,2024-01-01 02:00,,,,,455,13722
3,2024-01-01 03:00,,,,,477,13637
4,2024-01-01 04:00,,,,,478,13697
5,2024-01-01 05:00,,,,,472,13787
6,2024-01-01 06:00,,,,,464,14055
7,2024-01-01 07:00,100.7,-1.4,95.0,16.0,475,14481
8,2024-01-01 08:00,100.76,-1.3,90.0,13.0,493,14708
9,2024-01-01 09:00,100.85,-1.4,89.0,14.0,536,14890
10,2024-01-01 10:00,100.91,-1.4,87.0,17.0,574,15240
11,2024-01-01 11:00,100.94,-1.4,86.0,11.0,592,15564
12,2024-01-01 12:00,100.92,-1.3,85.0,12.0,604,15920
13,2024-01-01 13:00,100.86,-1.1,84.0,10.0,629,16072
14,2024-01-01 14:00,100.86,-1.0,83.0,7.0,609,16339
15,2024-01-01 15:00,100.9,-1.0,82.0,0.0,603,16538
16,2024-01-01 16:00,100.96,-1.0,84.0,7.0,571,17147
17,2024-01-01 17:00,100.98,-1.0,82.0,0.0,581,17805
18,2024-01-01 18:00,100.99,-1.2,89.0,5.0,560,17525
19,2024-01-01 19:00,101.0,-0.7,86.0,12.0,543,17261
20,2024-01-01 20:00,101.02,-0.8,80.0,17.0,536,16822
21,2024-01-01 21:00,101.03,-1.6,78.0,17.0,516,16303
22,2024-01-01 22:00,,,,,492,15410
23,2024-01-01 23:00,,,,,468,14694
24,2024-01-02 00:00,,,,,455,14124
25,2024-01-02 01:00,,,,,472,13796
26,2024-01-02 02:00,,,,,485,13617
27,2024-01-02 03:00,,,,,494,13500
28,2024-01-02 04:00,,,,,508,13714
29,2024-01-02 05:00,,,,,500,14196
30,2024-01-02 06:00,,,,,498,15381
31,2024-01-02 07:00,100.89,-1.8,81.0,26.0,521,16411
32,2024-01-02 08:00,100.86,-1.4,80.0,19.0,547,16839
33,2024-01-02 09:00,100.83,-0.7,79.0,18.0,558,17215
34,2024-01-02 10:00,100.82,0.1,78.0,21.0,565,17519
35,2024-01-02 11:00,100.76,1.1,75.0,22.0,568,17606
36,2024-01-02 12:00,100.63,1.8,75.0,27.0,578,17648
37,2024-01-02 13:00,100.5,2.2,75.0,34.0,576,17644
38,2024-01-02 14:00,100.49,2.6,73.0,30.0,577,17684
39,2024-01-02 15:00,100.45,2.4,76.0,30.0,580,17964
40,2024-01-02 16:00,100.49,2.0,75.0,34.0,588,18402
41,2024-01-02 17:00,100.49,1.8,76.0,25.0,597,19035
42,2024-01-02 18:00,100.46,1.7,75.0,35.0,596,18688
43,2024-01-02 19:00,100.46,1.7,77.0,24.0,587,18384
44,2024-01-02 20:00,100.46,1.7,76.0,24.0,589,18027
45,2024-01-02 21:00,100.46,1.9,75.0,21.0,554,17361
46,2024-01-02 22:00,,,,,519,16334
47,2024-01-02 23:00,,,,,487,15456
48,2024-01-03 00:00,,,,,451,14780
49,2024-01-03 01:00,,,,,436,14444
50,2024-01-03 02:00,,,,,446,14189
51,2024-01-03 03:00,,,,,458,14184
52,2024-01-03 04:00,,,,,508,14401
53,2024-01-03 05:00,,,,,515,14909
54,2024-01-03 06:00,,,,,517,15851
55,2024-01-03 07:00,100.36,1.3,82.0,12.0,534,17068
56,2024-01-03 08:00,100.35,1.5,81.0,10.0,560,17643
57,2024-01-03 09:00,100.35,1.5,83.0,16.0,577,18022
58,2024-01-03 10:00,100.35,2.0,79.0,16.0,580,18192
59,2024-01-03 11:00,100.33,2.2,79.0,14.0,592,18354
60,2024-01-03 12:00,100.27,2.1,78.0,17.0,598,18257
61,2024-01-03 13:00,100.2,2.2,79.0,13.0,597,18207
62,2024-01-03 14:00,100.14,2.3,78.0,14.0,590,18255
63,2024-01-03 15:00,100.1,2.4,76.0,18.0,592,18476
64,2024-01-03 16:00,100.11,2.3,78.0,12.0,596,18928
65,2024-01-03 17:00,100.14,2.0,80.0,14.0,609,19452
66,2024-01-03 18:00,100.2,1.8,83.0,17.0,593,19015
67,2024-01-03 19:00,100.2,1.1,89.0,17.0,592,18843
68,2024-01-03 20:00,100.15,0.9,83.0,13.0,597,18418
69,2024-01-03 21:00,100.13,1.7,75.0,16.0,575,17725
70,2024-01-03 22:00,,,,,540,16766
71,2024-01-03 23:00,,,,,514,15698
72,2024-01-04 00:00,,,,,522,14981
73,2024-01-04 01:00,,,,,487,14838
74,2024-01-04 02:00,,,,,487,14576
75,2024-01-04 03:00,,,,,478,14579
76,2024-01-04 04:00,,,,,476,14825
77,2024-01-04 05:00,,,,,524,15275
78,2024-01-04 06:00,,,,,497,16375
79,2024-01-04 07:00,100.74,-2.9,73.0,30.0,531,17597
80,2024-01-04 08:00,100.91,-3.5,71.0,30.0,556,18143
81,2024-01-04 09:00,101.04,-4.1,70.0,21.0,562,18286
82,2024-01-04 10:00,101.13,-3.1,70.0,22.0,553,18076
83,2024-01-04 11:00,101.19,-3.2,60.0,23.0,562,17753
84,2024-01-04 12:00,101.18,-2.8,61.0,20.0,554,17465
85,2024-01-04 13:00,101.21,-2.5,59.0,18.0,558,17312
86,2024-01-04 14:00,101.2,-1.9,56.0,19.0,558,17580
87,2024-01-04 15:00,101.25,-2.3,62.0,13.0,571,18241
88,2024-01-04 16:00,101.3,-2.5,58.0,15.0,587,19035
89,2024-01-04 17:00,101.36,-2.6,61.0,16.0,615,19981
90,2024-01-04 18:00,101.39,-2.8,58.0,14.0,605,19718
91,2024-01-04 19:00,101.47,-3.2,65.0,21.0,624,19498
92,2024-01-04 20:00,101.48,-3.4,61.0,13.0,614,19186
93,2024-01-04 21:00,101.47,-3.0,64.0,9.0,609,18603
94,2024-01-04 22:00,,,,,585,17574
95,2024-01-04 23:00,,,,,525,16736
96,2024-01-05 00:00,,,,,524,16002
97,2024-01-05 01:00,,,,,527,15638
98,2024-01-05 02:00,,,,,497,15335
99,2024-01-05 03:00,,,,,504,15223
100,2024-01-05 04:00,,,,,520,15387
101,2024-01-05 05:00,,,,,539,15768
102,2024-01-05 06:00,,,,,545,16789
103,2024-01-05 07:00,101.42,-2.9,61.0,19.0,557,17717
104,2024-01-05 08:00,101.41,-2.6,62.0,23.0,580,18250
105,2024-01-05 09:00,101.45,-2.6,60.0,22.0,598,18473
106,2024-01-05 10:00,101.43,-2.2,61.0,16.0,605,18635
107,2024-01-05 11:00,101.4,-1.9,62.0,24.0,605,18775
108,2024-01-05 12:00,101.28,-1.3,61.0,30.0,608,18780
109,2024-01-05 13:00,101.19,-1.1,58.0,36.0,610,18830
110,2024-01-05 14:00,101.12,-0.6,58.0,25.0,610,18835
111,2024-01-05 15:00,101.04,-0.4,62.0,16.0,604,18847
112,2024-01-05 16:00,101.03,-0.4,64.0,21.0,609,19122
113,2024-01-05 17:00,101.08,-0.5,59.0,23.0,628,19536
114,2024-01-05 18:00,101.14,-0.4,62.0,15.0,608,19079
115,2024-01-05 19:00,101.15,-0.3,62.0,14.0,590,18802
116,2024-01-05 20:00,101.11,-0.2,62.0,15.0,569,18617
117,2024-01-05 21:00,101.08,-0.3,64.0,16.0,559,18012
118,2024-01-05 22:00,,,,,524,17178
119,2024-01-05 23:00,,,,,493,16220
