,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Flag,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather,datetime
0,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 00:00,2024,1,1,00:00,,-10.9,,-14.1,,77.0,,0.0,,30.0,,7.0,,,,98.52,,,,-15.0,,,2024-01-01 00:00:00
1,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 01:00,2024,1,1,01:00,,-11.0,,-14.3,,77.0,,0.0,,,,0.0,,,,98.51,,,,,,,2024-01-01 01:00:00
2,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 02:00,2024,1,1,02:00,,-11.3,,-14.1,,80.0,,0.0,,25.0,,5.0,,,,98.48,,,,-14.0,,,2024-01-01 02:00:00
3,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 03:00,2024,1,1,03:00,,-11.6,,-14.4,,79.0,,0.0,,24.0,,7.0,,,,98.49,,,,-16.0,,,2024-01-01 03:00:00
4,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 04:00,2024,1,1,04:00,,-11.7,,-14.4,,80.0,,0.0,,23.0,,7.0,,,,98.45,,,,-16.0,,,2024-01-01 04:00:00
5,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 05:00,2024,1,1,05:00,,-11.8,,-14.3,,82.0,,0.0,,23.0,,8.0,,,,98.41,,,,-17.0,,,2024-01-01 05:00:00
6,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 06:00,2024,1,1,06:00,,-12.2,,-14.6,,82.0,,0.0,,25.0,,10.0,,,,98.41,,,,-18.0,,,2024-01-01 06:00:00
7,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 07:00,2024,1,1,07:00,,-12.2,,-14.6,,82.0,,0.0,,25.0,,10.0,,,,98.39,,,,-18.0,,,2024-01-01 07:00:00
8,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 08:00,2024,1,1,08:00,,-12.5,,-14.8,,83.0,,0.0,,23.0,,13.0,,,,98.33,,,,-19.0,,,2024-01-01 08:00:00
9,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 09:00,2024,1,1,09:00,,-12.2,,-14.5,,83.0,,0.0,,24.0,,8.0,,,,98.33,,,,-17.0,,,2024-01-01 09:00:00
10,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 10:00,2024,1,1,10:00,,-10.9,,-14.2,,77.0,,0.0,,22.0,,10.0,,,,98.28,,,,-16.0,,,2024-01-01 10:00:00
11,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 11:00,2024,1,1,11:00,,-9.3,,-13.7,,70.0,,0.0,,23.0,,14.0,,,,98.23,,,,-16.0,,,2024-01-01 11:00:00
12,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 12:00,2024,1,1,12:00,,-8.9,,-13.0,,72.0,,0.0,,21.0,,15.0,,,,98.13,,,,-15.0,,,2024-01-01 12:00:00
13,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 13:00,2024,1,1,13:00,,-8.0,,-12.2,,72.0,,0.0,,21.0,,11.0,,,,98.05,,,,-13.0,,,2024-01-01 13:00:00
14,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 14:00,2024,1,1,14:00,,-7.4,,-11.5,,72.0,,0.0,,21.0,,16.0,,,,97.97,,,,-14.0,,,2024-01-01 14:00:00
15,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 15:00,2024,1,1,15:00,,-6.5,,-10.6,,73.0,,0.0,,21.0,,15.0,,,,97.92,,,,-12.0,,,2024-01-01 15:00:00
16,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 16:00,2024,1,1,16:00,,-6.3,,-9.6,,77.0,,0.0,,21.0,,19.0,,,,97.88,,,,-13.0,,,2024-01-01 16:00:00
17,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 17:00,2024,1,1,17:00,,-5.8,,-8.5,,82.0,,0.0,,22.0,,14.0,,,,97.86,,,,-11.0,,,2024-01-01 17:00:00
18,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 18:00,2024,1,1,18:00,,-5.2,,-7.4,,85.0,,0.0,,22.0,,17.0,,,,97.79,,,,-11.0,,,2024-01-01 18:00:00
19,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 19:00,2024,1,1,19:00,,-4.4,,-6.5,,85.0,,0.0,,22.0,,16.0,,,,97.72,,,,-10.0,,,2024-01-01 19:00:00
20,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 20:00,2024,1,1,20:00,,-3.8,,-6.0,,85.0,,0.0,,22.0,,16.0,,,,97.65,,,,-9.0,,,2024-01-01 20:00:00
21,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 21:00,2024,1,1,21:00,,-3.4,,-5.6,,85.0,,0.0,,22.0,,16.0,,,,97.58,,,,-9.0,,,2024-01-01 21:00:00
22,-81.39,48.56,TIMMINS CLIMATE,6078282,2024-01-01 22:00,2024,1,1,22:00,,-3.0,,-5.2,,84.0,,0.0,,23.0,,17.0,,,,97.53,,,,-9.0,,,2024-01-01 22:00:00
