,Date/Time (LST),Stn Press (kPa),Temp (°C),Rel Hum (%),Wind Spd (km/h),Northeast,Ontario Demand
0,2024-01-01 00:00,98.52,-10.9,77.0,7.0,1373,14482
1,2024-01-01 01:00,98.51,-11.0,77.0,0.0,1372,14180
2,2024-01-01 02:00,98.48,-11.3,80.0,5.0,1355,13722
3,2024-01-01 03:00,98.49,-11.6,79.0,7.0,1349,13637
4,2024-01-01 04:00,98.45,-11.7,80.0,7.0,1340,13697
5,2024-01-01 05:00,98.41,-11.8,82.0,8.0,1266,13787
6,2024-01-01 06:00,98.41,-12.2,82.0,10.0,1235,14055
7,2024-01-01 07:00,98.39,-12.2,82.0,10.0,1254,14481
8,2024-01-01 08:00,98.33,-12.5,83.0,13.0,1251,14708
9,2024-01-01 09:00,98.33,-12.2,83.0,8.0,1259,14890
10,2024-01-01 10:00,98.28,-10.9,77.0,10.0,1273,15240
11,2024-01-01 11:00,98.23,-9.3,70.0,14.0,1261,15564
12,2024-01-01 12:00,98.13,-8.9,72.0,15.0,1281,15920
13,2024-01-01 13:00,98.05,-8.0,72.0,11.0,1286,16072
14,2024-01-01 14:00,97.97,-7.4,72.0,16.0,1295,16339
15,2024-01-01 15:00,97.92,-6.5,73.0,15.0,1335,16538
16,2024-01-01 16:00,97.88,-6.3,77.0,19.0,1406,17147
17,2024-01-01 17:00,97.86,-5.8,82.0,14.0,1413,17805
18,2024-01-01 18:00,97.79,-5.2,85.0,17.0,1418,17525
19,2024-01-01 19:00,97.72,-4.4,85.0,16.0,1433,17261
20,2024-01-01 20:00,97.65,-3.8,85.0,16.0,1443,16822
21,2024-01-01 21:00,97.58,-3.4,85.0,16.0,1421,16303
22,2024-01-01 22:00,97.53,-3.0,84.0,17.0,1397,15410
23,2024-01-01 23:00,97.47,-2.7,84.0,16.0,1356,14694
24,2024-01-02 00:00,97.37,-2.6,83.0,18.0,1330,14124
25,2024-01-02 01:00,97.38,-2.9,83.0,19.0,1319,13796
26,2024-01-02 02:00,97.4,-3.2,81.0,17.0,1309,13617
27,2024-01-02 03:00,97.41,-3.4,82.0,13.0,1286,13500
28,2024-01-02 04:00,97.38,-4.0,84.0,14.0,1267,13714
29,2024-01-02 05:00,97.31,-4.1,85.0,19.0,1239,14196
30,2024-01-02 06:00,97.28,-4.2,85.0,18.0,1276,15381
31,2024-01-02 07:00,97.23,-4.0,85.0,17.0,1307,16411
32,2024-01-02 08:00,97.2,-3.6,86.0,14.0,1345,16839
33,2024-01-02 09:00,97.19,-3.2,86.0,14.0,1329,17215
34,2024-01-02 10:00,97.16,-2.7,88.0,16.0,1367,17519
35,2024-01-02 11:00,97.12,-2.9,93.0,15.0,1400,17606
36,2024-01-02 12:00,97.07,-2.5,95.0,14.0,1398,17648
37,2024-01-02 13:00,97.0,-2.0,95.0,13.0,1380,17644
38,2024-01-02 14:00,96.98,-2.0,94.0,13.0,1396,17684
39,2024-01-02 15:00,96.99,-1.9,94.0,13.0,1407,17964
40,2024-01-02 16:00,97.05,-1.8,94.0,10.0,1368,18402
41,2024-01-02 17:00,97.08,-2.0,94.0,11.0,1374,19035
42,2024-01-02 18:00,97.16,-2.5,90.0,14.0,1344,18688
43,2024-01-02 19:00,97.22,-2.7,92.0,11.0,1368,18384
44,2024-01-02 20:00,97.28,-2.9,91.0,13.0,1369,18027
45,2024-01-02 21:00,97.32,-3.2,89.0,13.0,1346,17361
46,2024-01-02 22:00,97.35,-3.7,90.0,9.0,1299,16334
47,2024-01-02 23:00,97.38,-3.9,91.0,8.0,1278,15456
48,2024-01-03 00:00,97.4,-4.0,92.0,5.0,1255,14780
49,2024-01-03 01:00,97.42,-4.1,95.0,9.0,1232,14444
50,2024-01-03 02:00,97.42,-5.1,94.0,9.0,1223,14189
51,2024-01-03 03:00,97.44,-5.8,91.0,9.0,1245,14184
52,2024-01-03 04:00,97.44,-6.2,90.0,7.0,1231,14401
53,2024-01-03 05:00,97.43,-6.9,90.0,13.0,1245,14909
54,2024-01-03 06:00,97.48,-7.3,90.0,8.0,1252,15851
55,2024-01-03 07:00,97.51,-8.1,89.0,11.0,1345,17068
56,2024-01-03 08:00,97.55,-8.7,88.0,12.0,1380,17643
57,2024-01-03 09:00,97.59,-9.4,87.0,14.0,1398,18022
58,2024-01-03 10:00,97.67,-9.7,84.0,16.0,1400,18192
59,2024-01-03 11:00,97.72,-10.1,82.0,19.0,1368,18354
60,2024-01-03 12:00,97.73,-11.1,80.0,18.0,1361,18257
61,2024-01-03 13:00,97.75,-11.4,77.0,18.0,1369,18207
62,2024-01-03 14:00,97.76,-11.3,79.0,13.0,1386,18255
63,2024-01-03 15:00,97.82,-11.2,80.0,15.0,1393,18476
64,2024-01-03 16:00,97.92,-11.5,80.0,15.0,1433,18928
65,2024-01-03 17:00,98.02,-12.6,83.0,16.0,1438,19452
66,2024-01-03 18:00,98.11,-13.3,82.0,14.0,1435,19015
67,2024-01-03 19:00,98.18,-13.5,82.0,15.0,1468,18843
68,2024-01-03 20:00,98.27,-14.2,79.0,19.0,1468,18418
69,2024-01-03 21:00,98.32,-14.7,82.0,17.0,1475,17725
70,2024-01-03 22:00,98.36,-14.9,82.0,11.0,1458,16766
71,2024-01-03 23:00,98.4,-15.1,81.0,16.0,1429,15698
72,2024-01-04 00:00,98.41,-15.0,83.0,9.0,1379,14981
73,2024-01-04 01:00,98.44,-15.2,83.0,13.0,1338,14838
74,2024-01-04 02:00,98.47,-15.1,85.0,14.0,1367,14576
