,Date/Time (LST),Stn Press (kPa),Temp (°C),Rel Hum (%),Wind Spd (km/h),Northwest,Ontario Demand
0,2024-01-01 00:00,98.34,-6.1,72.0,21.0,597,14482
1,2024-01-01 01:00,98.23,-5.2,72.0,18.0,594,14180
2,2024-01-01 02:00,98.19,-4.6,71.0,21.0,590,13722
3,2024-01-01 03:00,98.14,-5.3,70.0,21.0,556,13637
4,2024-01-01 04:00,98.08,-4.8,69.0,21.0,547,13697
5,2024-01-01 05:00,97.99,-4.8,72.0,22.0,549,13787
6,2024-01-01 06:00,97.93,-3.8,75.0,24.0,548,14055
7,2024-01-01 07:00,97.89,-3.7,76.0,18.0,557,14481
8,2024-01-01 08:00,97.83,-3.3,75.0,22.0,559,14708
9,2024-01-01 09:00,97.75,-3.8,76.0,24.0,588,14890
10,2024-01-01 10:00,97.71,-3.7,76.0,21.0,591,15240
11,2024-01-01 11:00,97.76,-3.6,76.0,21.0,590,15564
12,2024-01-01 12:00,97.66,-3.3,74.0,21.0,575,15920
13,2024-01-01 13:00,97.66,-2.6,72.0,17.0,561,16072
14,2024-01-01 14:00,97.61,-2.7,73.0,18.0,553,16339
15,2024-01-01 15:00,97.58,-2.7,75.0,15.0,547,16538
16,2024-01-01 16:00,97.61,-2.8,75.0,15.0,536,17147
17,2024-01-01 17:00,97.66,-3.1,78.0,15.0,563,17805
18,2024-01-01 18:00,97.67,-3.3,78.0,17.0,566,17525
19,2024-01-01 19:00,97.69,-3.3,79.0,15.0,563,17261
20,2024-01-01 20:00,97.72,-4.3,97.0,13.0,589,16822
21,2024-01-01 21:00,97.73,-4.3,99.0,15.0,600,16303
22,2024-01-01 22:00,97.75,-4.5,100.0,11.0,589,15410
23,2024-01-01 23:00,97.74,-4.7,99.0,13.0,574,14694
24,2024-01-02 00:00,97.75,-4.7,98.0,13.0,554,14124
25,2024-01-02 01:00,97.78,-4.7,100.0,9.0,533,13796
26,2024-01-02 02:00,97.89,-6.2,98.0,11.0,535,13617
27,2024-01-02 03:00,98.0,-7.8,93.0,13.0,540,13500
28,2024-01-02 04:00,98.11,-8.9,92.0,21.0,540,13714
29,2024-01-02 05:00,98.2,-10.1,90.0,15.0,545,14196
30,2024-01-02 06:00,98.28,-11.0,90.0,13.0,549,15381
31,2024-01-02 07:00,98.37,-11.5,91.0,13.0,531,16411
32,2024-01-02 08:00,98.45,-12.9,88.0,9.0,554,16839
33,2024-01-02 09:00,98.5,-13.4,89.0,8.0,565,17215
34,2024-01-02 10:00,98.58,-14.2,90.0,8.0,577,17519
35,2024-01-02 11:00,98.6,-14.2,86.0,8.0,578,17606
36,2024-01-02 12:00,98.63,-14.4,85.0,9.0,576,17648
37,2024-01-02 13:00,98.6,-14.2,85.0,17.0,583,17644
