,Date/Time (LST),Stn Press (kPa),Temp (°C),Rel Hum (%),Wind Spd (km/h),Ottawa,Ontario Demand
0,2024-01-01 00:00,100.4,-7.2,77.0,10.0,959,14482
1,2024-01-01 01:00,100.41,-7.5,78.0,9.0,937,14180
2,2024-01-01 02:00,100.45,-7.5,76.0,18.0,919,13722
3,2024-01-01 03:00,100.48,-8.1,78.0,12.0,907,13637
4,2024-01-01 04:00,100.48,-8.1,75.0,13.0,908,13697
5,2024-01-01 05:00,100.49,-7.7,75.0,12.0,925,13787
6,2024-01-01 06:00,100.54,-7.3,72.0,10.0,956,14055
7,2024-01-01 07:00,100.58,-7.3,70.0,11.0,976,14481
8,2024-01-01 08:00,100.6,-7.3,69.0,15.0,976,14708
9,2024-01-01 09:00,100.67,-6.9,68.0,7.0,965,14890
10,2024-01-01 10:00,100.68,-6.3,65.0,6.0,981,15240
11,2024-01-01 11:00,100.69,-6.2,62.0,4.0,1029,15564
12,2024-01-01 12:00,100.63,-5.4,61.0,13.0,1067,15920
13,2024-01-01 13:00,100.57,-5.1,60.0,17.0,1082,16072
14,2024-01-01 14:00,100.58,-4.9,56.0,22.0,1091,16339
15,2024-01-01 15:00,100.58,-5.1,59.0,18.0,1111,16538
16,2024-01-01 16:00,100.59,-5.5,59.0,13.0,1173,17147
17,2024-01-01 17:00,100.6,-6.8,66.0,13.0,1233,17805
18,2024-01-01 18:00,100.6,-7.5,71.0,7.0,1210,17525
19,2024-01-01 19:00,100.61,-8.0,73.0,8.0,1175,17261
20,2024-01-01 20:00,100.6,-8.8,77.0,8.0,1146,16822
21,2024-01-01 21:00,100.56,-8.2,81.0,7.0,1104,16303
22,2024-01-01 22:00,100.53,-7.4,80.0,11.0,1044,15410
23,2024-01-01 23:00,100.5,-6.7,79.0,13.0,979,14694
24,2024-01-02 00:00,100.43,-6.2,79.0,10.0,930,14124
25,2024-01-02 01:00,100.38,-5.8,79.0,17.0,899,13796
26,2024-01-02 02:00,100.36,-5.7,80.0,12.0,887,13617
27,2024-01-02 03:00,100.31,-6.3,84.0,13.0,885,13500
28,2024-01-02 04:00,100.27,-6.1,86.0,14.0,900,13714
29,2024-01-02 05:00,100.25,-6.5,87.0,9.0,940,14196
30,2024-01-02 06:00,100.26,-6.8,91.0,9.0,1015,15381
31,2024-01-02 07:00,100.26,-5.0,91.0,13.0,1068,16411
32,2024-01-02 08:00,100.24,-3.5,87.0,14.0,1117,16839
33,2024-01-02 09:00,100.24,-2.5,82.0,14.0,1137,17215
34,2024-01-02 10:00,100.24,-1.7,76.0,19.0,1160,17519
35,2024-01-02 11:00,100.17,-1.1,72.0,16.0,1162,17606
36,2024-01-02 12:00,100.08,-0.7,69.0,20.0,1151,17648
37,2024-01-02 13:00,99.98,-0.7,68.0,22.0,1136,17644
38,2024-01-02 14:00,99.93,-0.3,66.0,16.0,1125,17684
39,2024-01-02 15:00,99.92,0.0,65.0,19.0,1150,17964
40,2024-01-02 16:00,99.88,-0.6,67.0,17.0,1231,18402
41,2024-01-02 17:00,99.9,-1.7,72.0,14.0,1312,19035
42,2024-01-02 18:00,99.89,-2.0,75.0,18.0,1251,18688
43,2024-01-02 19:00,99.93,-1.8,75.0,19.0,1231,18384
44,2024-01-02 20:00,99.93,-0.9,71.0,19.0,1185,18027
45,2024-01-02 21:00,99.92,-0.7,70.0,16.0,1132,17361
46,2024-01-02 22:00,99.86,-0.6,71.0,20.0,1052,16334
47,2024-01-02 23:00,99.87,-0.5,71.0,21.0,997,15456
48,2024-01-03 00:00,99.85,-0.3,71.0,18.0,935,14780
49,2024-01-03 01:00,99.84,-0.3,72.0,14.0,924,14444
50,2024-01-03 02:00,99.82,-0.2,74.0,14.0,881,14189
51,2024-01-03 03:00,99.84,-0.1,74.0,15.0,882,14184
52,2024-01-03 04:00,99.84,-0.1,76.0,11.0,921,14401
53,2024-01-03 05:00,99.86,-0.2,79.0,16.0,945,14909
54,2024-01-03 06:00,99.87,-0.3,81.0,10.0,1033,15851
55,2024-01-03 07:00,99.87,-0.3,83.0,10.0,1111,17068
56,2024-01-03 08:00,99.85,-0.4,84.0,5.0,1122,17643
57,2024-01-03 09:00,99.89,-0.1,85.0,10.0,1124,18022
