,Date/Time (LST),Stn Press (kPa),Temp (°C),Rel Hum (%),Wind Spd (km/h),Toronto,Ontario Demand
0,2024-01-01 00:00,99.54,-1.5,93.0,19.0,4928,14482
1,2024-01-01 01:00,99.55,-1.6,93.0,16.0,4784,14180
2,2024-01-01 02:00,99.58,-1.9,95.0,11.0,4659,13722
3,2024-01-01 03:00,99.63,-2.1,91.0,10.0,4560,13637
4,2024-01-01 04:00,99.66,-2.1,90.0,10.0,4528,13697
5,2024-01-01 05:00,99.68,-2.7,84.0,13.0,4559,13787
6,2024-01-01 06:00,99.77,-3.5,78.0,14.0,4630,14055
7,2024-01-01 07:00,99.84,-3.7,76.0,8.0,4720,14481
8,2024-01-01 08:00,99.9,-3.6,78.0,10.0,4789,14708
9,2024-01-01 09:00,99.96,-3.5,77.0,10.0,4945,14890
10,2024-01-01 10:00,100.01,-3.3,79.0,7.0,5146,15240
11,2024-01-01 11:00,100.05,-3.0,81.0,7.0,5333,15564
12,2024-01-01 12:00,100.01,-2.7,83.0,4.0,5461,15920
13,2024-01-01 13:00,99.96,-2.2,82.0,10.0,5505,16072
14,2024-01-01 14:00,99.96,-2.0,82.0,7.0,5527,16339
15,2024-01-01 15:00,99.96,-1.8,82.0,8.0,5572,16538
16,2024-01-01 16:00,100.02,-1.5,81.0,11.0,5742,17147
17,2024-01-01 17:00,100.05,-2.1,73.0,25.0,6025,17805
18,2024-01-01 18:00,100.06,-2.2,71.0,13.0,5987,17525
19,2024-01-01 19:00,100.09,-2.6,70.0,18.0,5896,17261
20,2024-01-01 20:00,100.09,-2.8,72.0,15.0,5790,16822
21,2024-01-01 21:00,100.07,-2.6,74.0,17.0,5623,16303
22,2024-01-01 22:00,100.04,-2.5,80.0,14.0,5391,15410
23,2024-01-01 23:00,100.04,-2.0,79.0,13.0,5117,14694
24,2024-01-02 00:00,99.99,-2.1,79.0,15.0,4880,14124
25,2024-01-02 01:00,99.95,-2.2,81.0,22.0,4699,13796
26,2024-01-02 02:00,99.93,-2.3,82.0,15.0,4575,13617
27,2024-01-02 03:00,99.93,-1.9,81.0,16.0,4525,13500
28,2024-01-02 04:00,99.89,-1.8,81.0,21.0,4563,13714
29,2024-01-02 05:00,99.87,-1.8,80.0,25.0,4754,14196
30,2024-01-02 06:00,99.85,-1.8,82.0,23.0,5130,15381
31,2024-01-02 07:00,99.84,-1.7,79.0,20.0,5573,16411
32,2024-01-02 08:00,99.84,-1.8,80.0,18.0,5877,16839
33,2024-01-02 09:00,99.8,-1.4,78.0,24.0,6106,17215
34,2024-01-02 10:00,99.79,-1.2,77.0,26.0,6273,17519
35,2024-01-02 11:00,99.77,-1.0,76.0,26.0,6402,17606
36,2024-01-02 12:00,99.63,-0.7,78.0,21.0,6398,17648
37,2024-01-02 13:00,99.53,-0.1,76.0,27.0,6420,17644
38,2024-01-02 14:00,99.47,0.6,75.0,27.0,6399,17684
39,2024-01-02 15:00,99.51,0.3,77.0,26.0,6441,17964
40,2024-01-02 16:00,99.48,0.0,75.0,18.0,6553,18402
41,2024-01-02 17:00,99.46,-0.2,75.0,25.0,6789,19035
42,2024-01-02 18:00,99.48,-0.5,75.0,28.0,6697,18688
43,2024-01-02 19:00,99.49,-0.5,76.0,27.0,6593,18384
44,2024-01-02 20:00,99.49,-0.5,78.0,21.0,6446,18027
45,2024-01-02 21:00,99.43,-0.4,78.0,22.0,6230,17361
46,2024-01-02 22:00,99.42,-0.3,78.0,30.0,5889,16334
47,2024-01-02 23:00,99.42,-0.4,81.0,28.0,5482,15456
48,2024-01-03 00:00,99.4,-0.3,83.0,22.0,5184,14780
49,2024-01-03 01:00,99.38,-0.4,87.0,26.0,5007,14444
50,2024-01-03 02:00,99.37,-0.3,90.0,22.0,4843,14189
51,2024-01-03 03:00,99.41,-0.3,95.0,21.0,4842,14184
52,2024-01-03 04:00,99.35,0.0,94.0,21.0,4820,14401
53,2024-01-03 05:00,99.35,0.2,90.0,25.0,5026,14909
54,2024-01-03 06:00,99.36,0.4,89.0,20.0,5345,15851
55,2024-01-03 07:00,99.36,0.5,88.0,23.0,5789,17068
56,2024-01-03 08:00,99.36,0.6,89.0,23.0,6056,17643
57,2024-01-03 09:00,99.34,0.8,88.0,21.0,6255,18022
58,2024-01-03 10:00,99.35,1.0,86.0,20.0,6378,18192
59,2024-01-03 11:00,99.33,1.4,83.0,23.0,6440,18354
60,2024-01-03 12:00,99.27,2.0,79.0,25.0,6442,18257
61,2024-01-03 13:00,99.2,2.1,77.0,21.0,6447,18207
62,2024-01-03 14:00,99.15,1.9,77.0,25.0,6426,18255
63,2024-01-03 15:00,99.12,1.9,78.0,18.0,6432,18476
64,2024-01-03 16:00,99.13,1.4,89.0,16.0,6546,18928
65,2024-01-03 17:00,99.16,1.1,88.0,14.0,6789,19452
66,2024-01-03 18:00,99.18,1.0,78.0,21.0,6705,19015
67,2024-01-03 19:00,99.22,0.9,80.0,17.0,6609,18843
68,2024-01-03 20:00,99.21,0.8,82.0,23.0,6473,18418
69,2024-01-03 21:00,99.18,0.3,88.0,18.0,6250,17725
70,2024-01-03 22:00,99.18,0.4,87.0,17.0,5918,16766
71,2024-01-03 23:00,99.21,0.6,92.0,17.0,5544,15698
72,2024-01-04 00:00,99.22,1.1,75.0,16.0,5243,14981
73,2024-01-04 01:00,99.24,0.7,76.0,22.0,5022,14838
74,2024-01-04 02:00,99.32,-0.1,77.0,34.0,4905,14576
75,2024-01-04 03:00,99.47,-1.2,74.0,31.0,4863,14579
76,2024-01-04 04:00,99.53,-2.3,72.0,32.0,4927,14825
77,2024-01-04 05:00,99.63,-3.6,71.0,33.0,5078,15275
78,2024-01-04 06:00,99.75,-4.3,72.0,30.0,5468,16375
79,2024-01-04 07:00,99.89,-5.5,68.0,36.0,5900,17597
80,2024-01-04 08:00,100.03,-6.1,69.0,31.0,6167,18143
81,2024-01-04 09:00,100.11,-5.7,69.0,22.0,6292,18286
82,2024-01-04 10:00,100.2,-5.0,66.0,23.0,6346,18076
83,2024-01-04 11:00,100.26,-4.6,62.0,25.0,6377,17753
84,2024-01-04 12:00,100.28,-3.4,56.0,26.0,6388,17465
85,2024-01-04 13:00,100.23,-3.2,55.0,16.0,6369,17312
86,2024-01-04 14:00,100.26,-3.1,57.0,20.0,6346,17580
87,2024-01-04 15:00,100.3,-3.4,54.0,23.0,6396,18241
88,2024-01-04 16:00,100.36,-4.0,58.0,24.0,6586,19035
89,2024-01-04 17:00,100.45,-5.0,63.0,24.0,6906,19981
90,2024-01-04 18:00,100.47,-4.6,62.0,19.0,6879,19718
91,2024-01-04 19:00,100.48,-4.9,62.0,14.0,6788,19498
92,2024-01-04 20:00,100.47,-4.5,63.0,8.0,6679,19186
93,2024-01-04 21:00,100.45,-4.1,65.0,14.0,6473,18603
94,2024-01-04 22:00,100.44,-3.6,66.0,17.0,6140,17574
95,2024-01-04 23:00,100.42,-3.4,67.0,16.0,5761,16736
96,2024-01-05 00:00,100.37,-3.0,67.0,15.0,5446,16002
97,2024-01-05 01:00,100.3,-2.7,66.0,15.0,5201,15638
98,2024-01-05 02:00,100.3,-2.7,66.0,20.0,5063,15335
99,2024-01-05 03:00,100.32,-2.8,66.0,23.0,5008,15223
100,2024-01-05 04:00,100.28,-2.9,66.0,21.0,5028,15387
101,2024-01-05 05:00,100.28,-2.9,66.0,20.0,5149,15768
102,2024-01-05 06:00,100.33,-2.8,65.0,17.0,5480,16789
103,2024-01-05 07:00,100.36,-2.8,65.0,19.0,5896,17717
104,2024-01-05 08:00,100.37,-2.8,65.0,18.0,6195,18250
105,2024-01-05 09:00,100.38,-2.6,67.0,17.0,6399,18473
106,2024-01-05 10:00,100.37,-2.3,66.0,23.0,6575,18635
107,2024-01-05 11:00,100.32,-1.6,64.0,26.0,6646,18775
108,2024-01-05 12:00,100.23,-1.4,65.0,21.0,6737,18780
109,2024-01-05 13:00,100.15,-1.1,65.0,26.0,6718,18830
110,2024-01-05 14:00,100.07,-0.9,65.0,20.0,6671,18835
111,2024-01-05 15:00,100.02,-1.0,65.0,17.0,6629,18847
112,2024-01-05 16:00,100.02,-1.1,66.0,13.0,6729,19122
113,2024-01-05 17:00,100.06,-1.2,67.0,16.0,6890,19536
114,2024-01-05 18:00,100.12,-1.1,66.0,19.0,6746,19079
115,2024-01-05 19:00,100.17,-1.1,68.0,12.0,6596,18802
116,2024-01-05 20:00,100.12,-1.1,69.0,12.0,6491,18617
117,2024-01-05 21:00,100.03,-1.1,69.0,9.0,6289,18012
118,2024-01-05 22:00,100.05,-0.9,68.0,11.0,5957,17178
119,2024-01-05 23:00,99.96,-1.0,69.0,9.0,5635,16220
120,2024-01-06 00:00,99.85,-1.0,69.0,8.0,5336,15542
121,2024-01-06 01:00,99.91,-0.9,69.0,14.0,5084,15073
122,2024-01-06 02:00,99.9,-1.1,70.0,3.0,4908,14709
123,2024-01-06 03:00,99.9,-0.9,70.0,8.0,4827,14625
124,2024-01-06 04:00,99.87,-1.3,72.0,7.0,4809,14546
125,2024-01-06 05:00,99.81,-1.2,70.0,4.0,4856,14898
126,2024-01-06 06:00,99.79,-1.4,70.0,0.0,5001,15388
127,2024-01-06 07:00,99.67,-0.9,69.0,7.0,5183,15970
128,2024-01-06 08:00,99.63,-0.6,71.0,8.0,5387,16495
129,2024-01-06 09:00,99.56,0.0,73.0,20.0,5637,17058
130,2024-01-06 10:00,99.47,0.0,71.0,25.0,5882,17497
131,2024-01-06 11:00,99.33,0.4,71.0,32.0,6119,18055
132,2024-01-06 12:00,99.2,0.7,70.0,29.0,6159,18364
133,2024-01-06 13:00,99.03,1.3,68.0,25.0,6128,18031
134,2024-01-06 14:00,98.9,1.4,63.0,32.0,6134,17980
135,2024-01-06 15:00,98.8,1.1,70.0,24.0,6139,18121
136,2024-01-06 16:00,98.82,-0.4,87.0,22.0,6352,18561
137,2024-01-06 17:00,98.84,-0.5,90.0,19.0,6582,19074
138,2024-01-06 18:00,98.8,-0.9,95.0,25.0,6555,18752
139,2024-01-06 19:00,98.75,-1.6,97.0,23.0,6451,18547
140,2024-01-06 20:00,98.67,-2.3,94.0,21.0,6315,18122
141,2024-01-06 21:00,98.59,-2.9,90.0,17.0,6133,17701
142,2024-01-06 22:00,98.56,-3.2,92.0,19.0,5912,16995
143,2024-01-06 23:00,98.54,-3.5,95.0,16.0,5624,16190
144,2024-01-07 00:00,98.51,-3.8,96.0,11.0,5356,15516
145,2024-01-07 01:00,98.5,-4.1,94.0,20.0,5140,15098
146,2024-01-07 02:00,98.51,-4.1,92.0,16.0,4982,14948
147,2024-01-07 03:00,98.49,-4.2,88.0,15.0,4904,14862
148,2024-01-07 04:00,98.47,-4.5,89.0,17.0,4880,14967
149,2024-01-07 05:00,98.46,-5.3,87.0,22.0,4921,15118
150,2024-01-07 06:00,98.49,-5.3,86.0,14.0,5014,15424
151,2024-01-07 07:00,98.54,-5.1,85.0,14.0,5164,16013
152,2024-01-07 08:00,98.59,-4.9,84.0,14.0,5338,16603
153,2024-01-07 09:00,98.62,-4.5,84.0,9.0,5557,17152
154,2024-01-07 10:00,98.65,-4.2,83.0,14.0,5773,17625
155,2024-01-07 11:00,98.67,-3.4,83.0,9.0,5955,17921
156,2024-01-07 12:00,98.66,-2.8,81.0,7.0,6074,18094
157,2024-01-07 13:00,98.67,-1.8,80.0,3.0,6043,18021
158,2024-01-07 14:00,98.7,-1.4,80.0,4.0,5992,17860
159,2024-01-07 15:00,98.81,-1.0,78.0,5.0,6038,17942
160,2024-01-07 16:00,98.92,-0.8,78.0,7.0,6213,18512
161,2024-01-07 17:00,99.03,-1.7,82.0,5.0,6518,19192
162,2024-01-07 18:00,99.14,-1.2,79.0,9.0,6521,18900
163,2024-01-07 19:00,99.27,-1.4,80.0,9.0,6404,18454
164,2024-01-07 20:00,99.41,-1.0,78.0,0.0,6230,18018
165,2024-01-07 21:00,99.5,-1.4,83.0,5.0,6005,17312
166,2024-01-07 22:00,99.61,-0.5,83.0,5.0,5683,16296
167,2024-01-07 23:00,99.7,-1.0,86.0,8.0,5355,15521
168,2024-01-08 00:00,99.8,0.0,86.0,14.0,5063,15036
