,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Flag,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather,datetime
0,-82.96,42.28,WINDSOR A,6139530,2024-01-01 00:00,2024,1,1,00:00,,2.2,,0.9,,91.0,,0.0,,34.0,,13.0,,16.1,,99.25,,,,,,Rain,2024-01-01 00:00:00
1,-82.96,42.28,WINDSOR A,6139530,2024-01-01 01:00,2024,1,1,01:00,,2.0,,1.1,,94.0,,0.0,,35.0,,17.0,,16.1,,99.27,,,,,,Rain,2024-01-01 01:00:00
2,-82.96,42.28,WINDSOR A,6139530,2024-01-01 02:00,2024,1,1,02:00,,2.1,,1.5,,96.0,,0.0,,35.0,,17.0,,4.8,,99.33,,,,,,Fog,2024-01-01 02:00:00
3,-82.96,42.28,WINDSOR A,6139530,2024-01-01 03:00,2024,1,1,03:00,,1.8,,0.8,,93.0,,0.0,,36.0,,21.0,,16.1,,99.41,,,,,,Rain,2024-01-01 03:00:00
4,-82.96,42.28,WINDSOR A,6139530,2024-01-01 04:00,2024,1,1,04:00,,1.3,,-0.6,,87.0,,0.0,,1.0,,34.0,,16.1,,99.48,,,,,,,2024-01-01 04:00:00
5,-82.96,42.28,WINDSOR A,6139530,2024-01-01 05:00,2024,1,1,05:00,,0.5,,-1.7,,85.0,,0.0,,36.0,,22.0,,16.1,,99.57,,,,,,,2024-01-01 05:00:00
6,-82.96,42.28,WINDSOR A,6139530,2024-01-01 06:00,2024,1,1,06:00,,0.2,,-2.4,,83.0,,0.0,,35.0,,24.0,,16.1,,99.66,,,,,,,2024-01-01 06:00:00
7,-82.96,42.28,WINDSOR A,6139530,2024-01-01 07:00,2024,1,1,07:00,,0.0,,-2.7,,82.0,,0.0,,36.0,,18.0,,16.1,,99.77,,,,-5.0,,,2024-01-01 07:00:00
8,-82.96,42.28,WINDSOR A,6139530,2024-01-01 08:00,2024,1,1,08:00,,-0.8,,-3.9,,79.0,,0.0,,34.0,,21.0,,16.1,,99.87,,,,-6.0,,,2024-01-01 08:00:00
9,-82.96,42.28,WINDSOR A,6139530,2024-01-01 09:00,2024,1,1,09:00,,-0.4,,-3.8,,78.0,,0.0,,36.0,,15.0,,16.1,,99.94,,,,-5.0,,,2024-01-01 09:00:00
