,Date/Time (LST),Stn Press (kPa),Temp (°C),Rel Hum (%),Wind Spd (km/h),West,Ontario Demand
0,2024-01-01 00:00,99.25,2.2,91.0,13.0,1591,14482
1,2024-01-01 01:00,99.27,2.0,94.0,17.0,1562,14180
2,2024-01-01 02:00,99.33,2.1,96.0,17.0,1543,13722
3,2024-01-01 03:00,99.41,1.8,93.0,21.0,1545,13637
4,2024-01-01 04:00,99.48,1.3,87.0,34.0,1601,13697
5,2024-01-01 05:00,99.57,0.5,85.0,22.0,1647,13787
6,2024-01-01 06:00,99.66,0.2,83.0,24.0,1764,14055
7,2024-01-01 07:00,99.77,0.0,82.0,18.0,1848,14481
8,2024-01-01 08:00,99.87,-0.8,79.0,21.0,1888,14708
9,2024-01-01 09:00,99.94,-0.4,78.0,15.0,1919,14890
10,2024-01-01 10:00,100.0,-0.1,71.0,30.0,1869,15240
11,2024-01-01 11:00,100.06,0.2,70.0,26.0,1851,15564
12,2024-01-01 12:00,100.03,0.4,69.0,24.0,1906,15920
13,2024-01-01 13:00,100.0,0.3,68.0,21.0,2004,16072
14,2024-01-01 14:00,100.0,0.5,67.0,22.0,2076,16339
15,2024-01-01 15:00,100.04,0.1,67.0,18.0,2137,16538
16,2024-01-01 16:00,100.07,-0.4,73.0,17.0,2144,17147
17,2024-01-01 17:00,100.11,-0.6,71.0,21.0,2074,17805
18,2024-01-01 18:00,100.13,-0.6,73.0,11.0,1988,17525
19,2024-01-01 19:00,100.14,-0.8,74.0,18.0,1933,17261
20,2024-01-01 20:00,100.15,-0.7,75.0,13.0,1861,16822
21,2024-01-01 21:00,100.12,-0.6,76.0,15.0,1762,16303
22,2024-01-01 22:00,100.1,-0.5,74.0,17.0,1609,15410
23,2024-01-01 23:00,100.07,-0.6,71.0,18.0,1597,14694
24,2024-01-02 00:00,100.04,-0.5,71.0,17.0,1610,14124
25,2024-01-02 01:00,99.99,-0.4,76.0,11.0,1606,13796
26,2024-01-02 02:00,99.96,-0.1,73.0,21.0,1610,13617
27,2024-01-02 03:00,99.98,0.0,74.0,21.0,1655,13500
28,2024-01-02 04:00,99.95,0.0,74.0,15.0,1740,13714
29,2024-01-02 05:00,99.91,0.0,75.0,21.0,1813,14196
30,2024-01-02 06:00,99.94,-0.7,73.0,24.0,1966,15381
31,2024-01-02 07:00,99.92,-0.8,74.0,22.0,2115,16411
32,2024-01-02 08:00,99.89,-0.9,74.0,22.0,2154,16839
33,2024-01-02 09:00,99.91,-1.0,74.0,30.0,2141,17215
34,2024-01-02 10:00,99.9,-1.0,73.0,28.0,2143,17519
35,2024-01-02 11:00,99.81,-0.7,73.0,26.0,2090,17606
36,2024-01-02 12:00,99.73,-0.4,75.0,35.0,2077,17648
37,2024-01-02 13:00,99.67,-0.3,77.0,28.0,2103,17644
38,2024-01-02 14:00,99.61,-0.5,76.0,26.0,2115,17684
39,2024-01-02 15:00,99.56,-0.3,76.0,26.0,2147,17964
40,2024-01-02 16:00,99.58,-0.4,79.0,30.0,2135,18402
41,2024-01-02 17:00,99.52,-0.7,78.0,35.0,2068,19035
42,2024-01-02 18:00,99.54,-0.7,81.0,28.0,2004,18688
43,2024-01-02 19:00,99.54,-0.7,81.0,26.0,1950,18384
44,2024-01-02 20:00,99.55,-0.6,82.0,30.0,1906,18027
45,2024-01-02 21:00,99.54,-0.4,83.0,22.0,1785,17361
46,2024-01-02 22:00,99.5,-0.2,82.0,24.0,1627,16334
47,2024-01-02 23:00,99.48,0.0,83.0,21.0,1594,15456
48,2024-01-03 00:00,99.46,0.0,83.0,24.0,1615,14780
49,2024-01-03 01:00,99.42,0.0,86.0,17.0,1623,14444
50,2024-01-03 02:00,99.4,0.0,87.0,17.0,1648,14189
51,2024-01-03 03:00,99.39,0.0,89.0,17.0,1706,14184
52,2024-01-03 04:00,99.36,0.0,90.0,18.0,1803,14401
53,2024-01-03 05:00,99.36,0.0,91.0,22.0,1899,14909
54,2024-01-03 06:00,99.36,0.0,93.0,18.0,2055,15851
55,2024-01-03 07:00,99.37,0.0,94.0,17.0,2208,17068
56,2024-01-03 08:00,99.36,0.0,95.0,17.0,2281,17643
57,2024-01-03 09:00,99.33,0.1,96.0,17.0,2327,18022
58,2024-01-03 10:00,99.36,0.1,97.0,15.0,2346,18192
59,2024-01-03 11:00,99.38,0.3,97.0,17.0,2348,18354
60,2024-01-03 12:00,99.32,0.6,94.0,21.0,2349,18257
61,2024-01-03 13:00,99.22,0.7,95.0,15.0,2359,18207
62,2024-01-03 14:00,99.14,1.1,91.0,15.0,2393,18255
63,2024-01-03 15:00,99.13,1.1,89.0,15.0,2401,18476
64,2024-01-03 16:00,99.17,1.0,90.0,13.0,2367,18928
65,2024-01-03 17:00,99.24,0.9,92.0,9.0,2254,19452
66,2024-01-03 18:00,99.28,0.6,95.0,9.0,2160,19015
67,2024-01-03 19:00,99.31,0.7,95.0,11.0,2110,18843
68,2024-01-03 20:00,99.31,0.3,94.0,11.0,2044,18418
69,2024-01-03 21:00,99.35,0.9,88.0,17.0,1920,17725
70,2024-01-03 22:00,99.38,0.7,89.0,18.0,1745,16766
71,2024-01-03 23:00,99.43,0.6,89.0,18.0,1654,15698
72,2024-01-04 00:00,99.52,-0.1,75.0,21.0,1646,14981
73,2024-01-04 01:00,99.57,-0.7,71.0,28.0,1632,14838
74,2024-01-04 02:00,99.64,-1.2,67.0,28.0,1626,14576
75,2024-01-04 03:00,99.77,-2.2,64.0,21.0,1683,14579
76,2024-01-04 04:00,99.83,-3.2,61.0,28.0,1775,14825
77,2024-01-04 05:00,99.89,-3.3,67.0,18.0,1864,15275
78,2024-01-04 06:00,99.99,-3.7,62.0,22.0,2022,16375
79,2024-01-04 07:00,100.1,-3.9,61.0,18.0,2183,17597
80,2024-01-04 08:00,100.2,-3.9,63.0,18.0,2264,18143
81,2024-01-04 09:00,100.3,-4.0,66.0,17.0,2283,18286
82,2024-01-04 10:00,100.4,-3.9,59.0,18.0,2223,18076
83,2024-01-04 11:00,100.46,-3.3,56.0,15.0,2143,17753
84,2024-01-04 12:00,100.43,-2.7,53.0,13.0,2102,17465
85,2024-01-04 13:00,100.4,-2.2,55.0,15.0,2027,17312
86,2024-01-04 14:00,100.39,-3.0,57.0,8.0,2101,17580
87,2024-01-04 15:00,100.37,-1.7,57.0,17.0,2179,18241
88,2024-01-04 16:00,100.37,-2.0,52.0,13.0,2296,19035
89,2024-01-04 17:00,100.42,-2.9,57.0,11.0,2265,19981
90,2024-01-04 18:00,100.48,-3.6,66.0,8.0,2187,19718
91,2024-01-04 19:00,100.51,-3.2,65.0,11.0,2135,19498
92,2024-01-04 20:00,100.52,-4.3,67.0,11.0,2081,19186
93,2024-01-04 21:00,100.47,-4.9,79.0,8.0,1984,18603
94,2024-01-04 22:00,100.5,-5.3,77.0,4.0,1842,17574
95,2024-01-04 23:00,100.44,-6.1,86.0,5.0,1809,16736
96,2024-01-05 00:00,100.45,-6.1,89.0,4.0,1818,16002
